X,Y,se_sdo_rowid,se_anno_cad_data,bezirk,adresse,anzahl,art_kat
16.373566015617644,48.231375892304413,290155,,20,Greiseneckergasse 27,8,0
16.365666544982282,48.235052575060962,290156,,20,Klosterneuburger Straße 84,6,0
16.365534619823425,48.235042066313738,290157,,20,Klosterneuburger Straße 91,6,0
16.36518764211614,48.226799383987974,290158,,9,Roßauer Lände ggü. 47-49,8,0
16.337983997560755,48.208204700552628,290159,,16,Lerchenfelder Gürtel ggü. 33,24,0
16.361130757780082,48.213707123311664,290160,,1,"Universitätsstraße 1, U-Bahnstation Schottentor",10,0
16.383884438788606,48.198116520954471,290161,,3,"Reisnerstraße 43, Schule",6,0
16.384648771107667,48.221243165069609,290162,,2,Heinestraße 15,8,0
16.382555854379287,48.219331920641814,290163,,2,Glockengasse 22,6,0
16.382483226033674,48.219344529627577,290164,,2,Glockengasse 23,6,0
16.370566904827449,48.217021665745747,290165,,1,Franz-Josefs-Kai 59-61,8,0
16.370455585511742,48.217121703984894,290166,,1,Franz-Josefs-Kai 59-61,8,0
16.370335275939912,48.21723678226342,290167,,1,"Franz-Josefs-Kai 59-61, Schottenring",6,0
16.370182258743323,48.217233820476643,290168,,1,Schottenring 30,6,0
16.370035990816945,48.217227848278405,290169,,1,Schottenring ggü. 30,6,0
16.400319281138582,48.261240187620494,290170,,21,Brünner Straße 26-32,6,0
16.40809063770098,48.253206492794163,290171,,21,"Kinzerplatz 24, Front Kirche",8,0
16.351637132098283,48.208212604976346,290172,,8,Zeltgasse 1A,8,0
16.352217034248898,48.208271789936028,290173,,8,Zeltgasse 1A,12,0
16.352231813878642,48.208207666505054,290174,,8,Zeltgasse 1A,12,0
16.344811609950675,48.213176033987622,290175,,8,Laudongasse 42,2,0
16.366968451344412,48.192079017946064,290176,,4,Wiedner Hauptstraße 53,4,0
16.374221205341605,48.204318817983982,290177,,1,Johannesgasse 10,6,0
16.342223277413435,48.210676132856925,290178,,8,Stolzenthalergasse 26,4,0
16.327425199969092,48.231372122178797,290179,,18,Saliergasse 30,14,0
16.343256293745998,48.1996574375503,290180,,7,Schottenfledgasse 28,6,0
16.34241575646444,48.213050972488439,290181,,8,Bennogasse 13,4,0
16.342586296298421,48.21357180320431,290182,,8,Bennogasse 16,4,0
16.340302878372778,48.220601142860325,290183,,18,Schumanngasse 18,6,0
16.376478520728185,48.206084706603058,290184,,1,Seilerstätte 6,6,0
16.375983023848839,48.205192225598559,290185,,1,Weihburggasse 26,6,0
16.402699407712678,48.19992367352615,290186,,3,Dietrichgasse 27-29,6,0
16.382834144313616,48.202002814328509,290187,,3,Beatrixgasse 23,4,0
16.37644055295133,48.206209927501732,290188,,7,Singerstraße 30,6,0
16.375549816614367,48.204558136455617,290189,,1,Himmelpfortgasse 24,4,0
16.290455504912149,48.145651905470245,290190,,23,Steinergasse 18,6,0
16.368813717983404,48.187854868495563,290191,,4,Schönburgstraße 28,6,0
16.330400322161022,48.179671643455279,290192,,12,Hilschergasse 23,22,0
16.293481115539656,48.195704773030656,290193,,14,Felbigergasse 37,8,0
16.338966201721238,48.201114803609393,290194,,7,Kenyongasse 22,6,0
16.342428027283045,48.205902975953066,290195,,7,Neustiftgasse 92,6,0
16.342346976057115,48.20661379328083,290196,,7,Bernardgasse 16,4,0
16.371654900151277,48.231643510819588,290197,,20,Brigittaplatz 21,12,0
16.34759436486236,48.228686734094509,290198,,18,Michaelerstraße 13,14,0
16.324438416832841,48.187224825356083,290199,,15,"Hollergasse 22, ggü. Weiglgasse",6,0
16.344382754185752,48.213180947357237,290200,,8,Laudongasse 44,2,0
16.290685111499908,48.195764882589366,290201,,14,Felbigerstraße 50-52,8,0
16.452408886070671,48.155028010647172,290202,,11,Trepulkagasse 7,4,0
16.359621377049617,48.219801228319213,290203,,9,Harmoniegasse 3,6,0
16.378757409461439,48.210150425690998,290204,,1,Fleischmarkt 19,6,0
16.370593156769406,48.193088023288198,290205,,4,Favoritenstraße 26,4,0
16.376111353559672,48.189464399023954,290206,,4,Argentinierstraße 51,6,0
16.376468024307929,48.188469294498397,290207,,4,Weyringergasse 23,6,0
16.328232747242247,48.215737979163151,290208,,17,Parhamerplatz 5,8,0
16.370807494573874,48.192487463750247,290209,,4,Favoritenstraße 30,4,0
16.375951200808732,48.189610973837979,290210,,4,Argentinierstraße 44,4,0
16.376035853373281,48.189624855118225,290211,,4,Argentinierstraße 49,4,0
16.369116970807703,48.189154922567226,290212,,4,Rainergasse ggü.11,6,0
16.36398406854315,48.192026565416647,290213,,4,Mittersteig 5,4,0
16.378446271695363,48.210203796621919,290214,,1,Fleischmarkt 19,8,0
16.36400677060821,48.192270605731338,290215,,4,Hugo-Wiener-Platz 2,4,0
16.363509152175517,48.193781138248575,290216,,4,Schäffergasse 20,4,0
16.363389441106804,48.193734180006743,290217,,4,Große Neugasse 29,4,0
16.371569865111827,48.231634393794195,290218,,20,Brogittaplatz 21,6,0
16.350434456634794,48.208088657680264,290219,,8,Zeltgasse 6,4,0
16.344092253049464,48.21318205261796,290220,,8,Laudongasse 46,2,0
16.344598601787656,48.213179304648676,290221,,8,Laudongasse 42,2,0
16.377482892088036,48.217761507181137,290222,,2,Leopoldsgasse 37,8,0
16.365462447168177,48.210096763056761,290223,,1,Herrengasse 12,4,0
16.393606365530363,48.234146121840134,290224,,20,Innstraße 27-29,8,0
16.445488592603883,48.249579650901829,290225,,22,Kagraner Platz 8,4,0
16.3458282901851,48.20870398986132,290226,,8,Pfeilgasse 18,6,0
16.366348863310886,48.200575197915072,290227,,1,Friedrichstraße 12,6,0
16.321929997319998,48.196996330784138,288406,,15,Kröllgasse 29,6,0
16.369255022370687,48.244032374195299,288407,,20,Lorenz Müller Gasse 1A,20,0
16.35484063838776,48.188400959150542,288408,,5,Pannaschgasse 6,12,0
16.35713982286212,48.194577272288143,288409,,5,Grüngasse 16,6,0
16.37711996103603,48.198639223527238,288410,,3,Schwarzenberplatz 7,8,0
16.368989931796992,48.231131255482175,288411,,20,Ohmanngasse 31,6,0
16.36749463758056,48.238281207844146,288412,,20,"Burghardtgasse 25, Adalbert Stifter Straße",12,0
16.400499303205617,48.222998852315655,288413,,2,"Radingerstraße 4, U1-Station",8,0
16.447505494396268,48.248793184035982,288414,,22,Kagraner Platz 53-54,6,0
16.458637316837276,48.222880923458717,288415,,22,"Langobadenstraße 53, Wohlgemuthgasse (Kindergarten)",8,0
16.358425489378075,48.19330665890466,288416,,5,"Strobachgasse, Schönbrunner Straße",12,0
16.369877812044283,48.252132272894912,288417,,19,Muthgasse 62,6,0
16.356568622228544,48.18834686638052,288418,,5,Rampersdorfer Straße 45,18,0
16.363113268058186,48.184250777000727,288419,,5,"Kliebergasse, Hauslabgasse",5,0
16.419372853690724,48.229481594422403,288420,,22,Schüttaustraße 21-39,10,0
16.334179445932843,48.188371362724034,288421,,15,Sechshauser Straße 30,8,0
16.386408848313685,48.242460618329417,288422,,20,"U/6-Station Handelskai - Damm, unter Schnellbahnbrücke",20,1
16.458260752503826,48.220827188241834,288423,,22,Hardeggasse U2,60,1
16.350523382280127,48.188450093036323,288424,,5,Bräuhausgasse 53,6,0
16.343989340971987,48.245100501824282,288425,,19,Billrothstraße ggü. 79,10,0
16.422993179822249,48.226193807163995,288426,,22,Moissigasse 16,6,0
16.371116823317166,48.232909100814084,288427,,20,Brigittaplatz 10,6,0
16.2934668914775,48.191573039712722,288428,,14,Weinzierlgasse 12,6,0
16.371534023738409,48.233641571807944,288429,,20,Raffaelgasse 11,4,0
16.412962578626782,48.192047874825562,288430,,3,"Erdbergstraße, ggü. Nottendorfer Gasse",14,0
16.353285397501455,48.181810472466779,288431,,5,"Siebenbrunnenfeldgasse 20, Embelgasse",6,0
16.318235038191695,48.196173722551102,288432,,15,Märzstraße 95,6,0
16.365028641130635,48.250042968985831,288433,,19,Boschstraße 10-18,8,0
16.373781166101406,48.230799222158808,288434,,20,Hartlgasse 1,8,0
16.372534182008355,48.220711729937626,288435,,2,Förstergasse 10,8,0
16.359529525257141,48.185638228349255,288436,,5,Ramperstorffergasse 13-15,6,0
16.329153122735761,48.184173994167558,288437,,15,Ullmannstraße ggü. 71,4,0
16.358220522291894,48.186955858806186,288438,,5,Ramperstorffergasse 32,6,0
16.356521207638632,48.185764267660225,288439,,5,Spengergasse 20,12,0
16.373644507257691,48.245411763494388,288440,,20,"Forsthausgasse, Kornhäuselgasse",8,0
16.360242427139141,48.192351482769084,288441,,5,Margaretenstraße 67,6,0
16.388122643219283,48.233497184182703,288442,,20,Pöchlarnstraße 13,8,0
16.29761471405229,48.184776732640728,288443,,13,Trauttmansdorffgasse 22,8,0
16.360292499806054,48.192374683676043,288444,,5,Margaretenstraße 65,18,0
16.248372322656135,48.203723782399642,288445,,14,Linzer Straße 460,4,0
16.358945363723858,48.191887861019126,288446,,5,Margaretenplatz 9,6,0
16.282409967229047,48.19533620357177,288447,,14,Linzer Straße 261,6,0
16.312791257206175,48.193151754754609,288448,,14,Linzer Straße 30,8,0
16.343424112418028,48.228463964425409,288449,,18,Haitzingergasse 13,8,0
16.359606894544594,48.191244596439539,288450,,5,Schloßgasse 21,10,0
16.357933036586029,48.18362892867853,288451,,5,Jahngasse 34,6,0
16.358895497671849,48.191873167052165,288452,,5,Margaretenplatz 9,6,0
16.358163794655667,48.191531714093365,288453,,5,Margaretenplatz 5,6,0
16.357562947316804,48.197121881785201,288454,,6,Joanelligasse 2,8,0
16.354224061097856,48.192815876404467,288455,,5,U4-Station Pilgramgasse,12,0
16.440758460829308,48.247324142291475,288456,,22,Wagramer Straße 121,6,0
16.359726820677061,48.194149474787977,288457,,5,Schönbrunner Straße 17-19,4,0
16.332320916661235,48.246176319385306,288458,,19,Gräfweg 5,22,0
16.358889366612509,48.194239090556778,288459,,5,Wehrgasse 16,6,0
16.299575174579161,48.188108187195411,288460,,13,Dommayergasse 1,6,0
16.285895297392717,48.194674375744398,288461,,14,Linzer Straße 214,4,0
16.355006936296309,48.195727891694553,288462,,6,"Margaritensteg, Linke Wienzeile ggü. 72-76",6,0
16.466287350607594,48.194604290994491,288463,,22,"Biberhaufenweg, Roter Hiasl",8,0
16.472924655558383,48.201785650575374,288464,,22,Biberhaufenweg 117,12,0
16.35509946019641,48.185512495222618,288465,,5,Stöbergasse 11-15,16,0
16.388866746417374,48.199158712258743,288466,,3,Neulinggasse 20,6,0
16.35168061172973,48.22804709759184,288834,,9,Canisiusgasse 23,8,0
16.366019330611746,48.211321142295851,288835,,1,Freyung 1,8,0
16.380029265416933,48.207112309291439,288836,,1,Parkring 2,8,0
